Depth,Ice age (a B1950),Ice age std (a),Gas age (a B1950),Gas age std (a),Accu. Rate (m ie),Thinning,LIDIE
708.00,49556.40,1401.15,45420.20,1460.07,0.0136,0.9872,56.49
710.00,49705.70,1423.87,45531.70,1463.26,0.0131,0.9878,56.94
712.00,49859.70,1427.82,45644.20,1411.01,0.0130,0.9883,57.45
714.00,50015.10,1394.38,45749.60,1392.68,0.0136,0.9887,58.14
716.00,50163.50,1398.13,45841.10,1384.01,0.0137,0.9890,58.74
718.00,50311.40,1401.11,45938.70,1435.26,0.0140,0.9888,59.41
720.00,50455.40,1455.91,46039.30,1360.35,0.0138,0.9893,59.95
722.00,50602.10,1433.22,46142.70,1371.68,0.0146,0.9899,60.72
724.00,50740.40,1493.33,46227.40,1441.43,0.0142,0.9901,61.23
726.00,50882.80,1502.50,46336.10,1453.76,0.0139,0.9904,62.47
