"County" "Year" "JanAvgMaxTemp" "FebAvgMaxTemp" "MarAvgMaxTemp" "AprAvgMaxTemp" "JanAvgMinTemp" "FebAvgMinTemp" "MarAvgMinTemp" "AprAvgMinTemp" "JanTotalPrecip" "FebTotalPrecip" "MarTotalPrecip" "AprTotalPrecip" "AprTotalGDD" "CornYield" "SoybeanYield"
"451" "big stone" 2008 19.7 21.9 33.7 50.5 -0.6 0.6 17.2 30.6 0.095 0.425 1.88 2.89 8 158 36
"453" "big stone" 2009 14.7 23.3 33.5 51.9 -5.3 5.6 17.9 33.1 0.64 1.035 3.4 0.735 34 165 39
"455" "big stone" 2010 14.7 17.6 41.1 62.2 1.9 2.4 27 41.4 1.46 1.415 1.08 1.1 94 162.8 41.1
"457" "big stone" 2011 14.3 21.6 29.5 49.9 -3.1 2 12.9 34.3 1.645 1.755 1.915 1.485 7 110.8 33.4
"459" "big stone" 2012 30.3 32.9 51.9 57.6 11.7 14.1 31.4 39.4 0.265 1.515 1.065 2.935 56 162.9 43.5
"465" "blue earth" 1992 29.4 33.1 41.8 51.4 15.6 21.7 24.4 31.7 0.84 0.64 1.59 1.93 29 142 39
"466" "blue earth" 1993 22.3 21.6 34 53.1 1 5.7 17.3 32.3 0.67 1.22 2.04 4.98 19 90 31
"467" "blue earth" 1994 14 19.5 42.8 58.4 -5.9 -1.7 25.7 33.2 0.95 1.23 0.15 4.5 92 147 44
"468" "blue earth" 1995 24.5 31.4 42.3 51.8 8.6 9.2 24.8 30.7 0.01 0.04 2.46 3.62 8 129 43
"469" "blue earth" 1996 20 27.8 37.2 53.2 -1.7 9.6 16.7 29.8 1.59 0.01 1.69 0.89 27 140 42
"470" "blue earth" 1997 19.1 28.7 39 55.1 1.3 9.2 22.2 30.1 1.48 0.61 0.93 1.31 40 144 43
"471" "blue earth" 1998 24.6 35.9 36.9 60 8.6 24.1 22.2 37 1.23 0.77 2.85 2.82 64 165 49
"473" "blue earth" 2000 26.7 36.8 51.8 59.8 3.6 17.7 28 35.1 0.35 0.65 1.11 1.565 74 148 45
"477" "blue earth" 2002 36.4 40.9 36.3 58.5 14.2 16.8 15.5 33.9 0.2 0.18 1.195 1.595 53 163 50
"479" "blue earth" 2003 29 33.6 45.6 65.3 5.8 4.4 20.1 35 0.19 0.38 1.69 1.275 107 164 35
"481" "blue earth" 2004 26.1 31.4 50.1 66.8 4.2 11.6 27.9 34.7 0.34 0.78 2.04 1.64 90 180 43
"483" "blue earth" 2005 24.9 38.9 43.2 65.1 7.3 18.9 21.1 40.8 0.315 1.28 0.02 4.02 84 184 53
"485" "blue earth" 2006 33.8 30 40.9 62.8 21.8 9.4 24.6 41.9 0.87 0.31 1.05 4.21 83 175 55
"487" "blue earth" 2007 27.9 22.4 47 58.1 10 4.2 28.2 34.9 0.38 0.945 2.72 0.99 149 157 49
"489" "blue earth" 2008 23.9 26.5 40 55.5 5.8 7.3 21.3 34.7 0.2 0.34 1.26 3.36 68 177 43.5
"491" "blue earth" 2009 21.6 33.4 43.6 59.7 1.3 14.2 24.3 36.2 0.52 0.77 1.96 1.85 94 187 47
"493" "blue earth" 2010 18.6 25.7 47.8 67.9 2.6 6.4 27.6 43.4 0.68 0.65 2.03 2.3 193 174.1 48.1
"495" "blue earth" 2011 19.4 27.1 37.9 54.8 -2.1 5.5 18.2 35.2 0.75 1.14 1.55 3.47 22 172.1 47.6
"497" "blue earth" 2012 33.6 36.7 60 64.7 15.2 19.3 39 40.1 0.57 2.17 1.2 3.46 131 170.5 50.1
"503" "brown" 1980 25.6 23.2 34.1 60.6 6.2 4.9 17.3 36.3 0.13 0.7 0.81 0.61 110 105 35
"504" "brown" 1981 30.3 33.9 50.6 63.2 4.3 12.8 22.4 37.6 0.07 1.02 1.72 1.16 109 106 28.3
"505" "brown" 1982 11.4 22.6 36.9 52.4 -11.5 4.9 22.6 29.5 1.38 0.16 1.05 2.1 46 123 38.7
"506" "brown" 1983 26.1 29.7 36.8 50 8.4 17.9 23.6 30.8 0.78 0.4 4.26 2.81 11 85 36
"507" "brown" 1984 21.9 32.3 30.2 55.8 2.7 18.4 13 35.7 0.82 1.41 0.99 3.94 17 122 37
"508" "brown" 1985 19.5 24.7 44.3 62.8 -0.4 5 27.1 38.5 0.43 0.09 3.42 4.11 160 133 37
"509" "brown" 1986 26 20.5 41.7 58.1 8.2 6.3 25 37.4 0.55 0.34 2.09 6.87 58 135 38
"510" "brown" 1987 31.3 43.8 45.6 68.1 12.4 19.9 26.7 36.9 0.11 0.01 2.81 0.71 174 137 42
"511" "brown" 1988 19.4 21 42.6 58.1 -2.7 -0.3 24.6 31 1.25 0.17 0.44 2.65 48 71 24
"512" "brown" 1989 34.7 19.3 33.8 56.4 11.7 -2.1 15.7 32.7 0.12 0.44 3.46 2.97 76 140 42
"514" "brown" 1991 20.6 36.5 41.7 59.3 -0.1 15.2 21.6 37.1 0.13 0.73 1.93 4.53 109 125 37
"515" "brown" 1992 30.6 33.1 42.2 50.1 14.9 20.6 24.5 31.5 0.54 0.82 2 2.95 31 139 38
"516" "brown" 1993 22.1 21.2 35.6 51.9 1.4 5.6 18.8 31.5 0.55 0.77 1.92 3.29 17 78 25
"517" "brown" 1994 12.3 18.8 42 56.7 -7.5 -1.7 24.7 31.7 1.32 0.44 0.24 6.54 70 152 44
"519" "brown" 1996 15.5 26.5 33.9 51.1 -2.9 8.9 14.9 30 2.45 0.06 1.47 0.49 21 143 44
"520" "brown" 1997 16.3 27.7 36.2 52.4 -0.5 11.1 20.9 29.3 0.9 0.11 1.1 1.54 27 139 43
"521" "brown" 1998 23.5 35.6 34.4 59.5 6.7 23.2 19.3 36.1 0.83 0.99 3.45 1.78 66 151 42
"522" "brown" 1999 19.2 36.2 42.5 56.6 1.6 18.4 22.1 36.7 1.06 0.11 0.68 4.1 42 162 45
"523" "brown" 2000 25.3 36.6 51.9 57.3 2.6 17 26.8 31.5 0.62 1.09 0.6 2.01 49 154 45
"524" "brown" 2001 26.8 19.1 31.8 55 9.1 -3.1 14.9 35.1 1.78 1.22 0.76 8.37 75 139 42
"525" "brown" 2002 32.5 38 30 54.9 13.3 17.3 12.8 34 0.08 1.08 1.71 2.83 97 152 45
"526" "brown" 2003 25.1 25.3 39.8 59.5 3.7 3.2 17.3 33.2 0.17 0.99 1.45 1.57 93 157 35
"527" "brown" 2004 21.9 25.9 45 63.3 2.4 9.2 25.4 30.3 0.46 0.73 1.1 1.92 79 180 41
"528" "brown" 2005 21.4 35.2 40.7 62.7 5.4 16.1 18.1 37.1 0.84 0.8 1.58 3.27 117 176 52
